episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,0.44,9,0.03,0.974285,8.005047,18.848421,,-2.809578,
2,2.84,10,0.04,0.974578,-2.269911,7.531116,,1.333947,
3,0.65,10,0.07,0.97455,-5.684373,4.758527,,-0.446331,
4,0.39,10,0.14,0.974385,-2.384748,13.372108,,-1.176604,
5,0.66,9,0.16,0.974078,-2.402314,4.736794,,-1.126949,
6,-1.42,9,0.18,0.973834,-3.181294,13.388552,,-2.041099,
7,-1.06,9,0.21,0.973829,-3.041264,19.058508,,-0.821637,
8,-1.44,9,0.23,0.97385,-2.944398,14.781089,,-1.798987,
9,0.56,10,0.26,0.973903,-3.75117,4.966223,,-0.370519,
10,-0.6,8,0.28,0.973991,4.31533,16.354614,,-2.531971,
11,1.19,10,0.31,0.974103,0.106283,2.595617,,-0.931521,
12,2.09,9,0.33,0.974244,5.711675,8.072514,,-0.785147,
13,1.69,9,0.36,0.974304,2.86082,5.719147,,-1.317967,
14,1.04,10,0.38,0.97434,-3.887991,4.255377,,-0.165688,
15,1.13,11,0.41,0.974415,-3.796794,3.451622,,0.134457,
16,0.44,10,0.43,0.974453,-6.521932,6.478877,,-0.157827,
17,2.24,10,0.45,0.97452,2.798084,9.489435,,-0.510048,
18,1.37,10,0.47,0.974569,-0.454805,7.552541,,-0.579679,
19,0.79,10,0.49,0.974614,-5.399708,9.521161,,-0.02394,
20,5.68,12,0.52,0.974626,0.149349,11.114352,,2.276119,
21,5.97,14,0.55,0.974627,5.096748,13.685379,,1.038468,
22,0.23,11,0.58,0.974718,-3.418763,11.485043,,-0.304645,
23,2.43,10,0.6,0.974782,-0.975904,3.830216,,0.068085,
24,2.25,11,0.62,0.974814,-6.585521,7.254728,,1.162984,
25,2.33,11,0.65,0.974851,-0.911793,3.979364,,0.38936,
26,2.66,12,0.69,0.974895,-1.101739,12.198915,,0.237809,
27,2.62,10,0.71,0.974911,-0.365177,3.054262,,0.097127,
28,-0.66,11,0.74,0.974959,-2.912154,6.32343,,-1.519313,
29,2.58,11,0.76,0.974977,2.108201,7.312058,,-0.650674,
30,2.03,9,0.79,0.975015,-0.348809,3.024442,,0.202688,
31,2.08,10,0.81,0.97506,-0.458546,3.411972,,0.047791,
32,2.77,11,0.83,0.975088,1.253912,6.204399,,-0.348073,
33,4.4,11,0.87,0.975073,0.872574,9.601864,,1.338999,
34,4.19,11,0.9,0.975065,1.323181,6.094063,,1.117042,
35,1.34,10,0.93,0.975043,-2.716723,4.373025,,-0.232605,
36,2.71,11,0.95,0.974999,3.662405,4.186108,,-0.807118,
37,3.87,11,0.97,0.974959,4.083664,6.941288,,-0.021414,
38,-0.86,9,0.99,0.974907,-4.929518,4.409702,,-1.069568,
39,2.87,11,1.02,0.974864,2.23198,6.250528,,-0.041876,
40,2.97,10,1.04,0.974852,-0.23236,2.064706,,0.676473,
41,0.48,10,1.06,0.974846,-3.665642,6.249938,,-0.231714,
42,2.52,11,1.1,0.974837,1.064639,2.610543,,-0.319769,
43,2.23,11,1.13,0.974832,0.996609,6.325913,,-0.583424,
44,2.0,10,1.15,0.97481,1.763252,2.34909,,-0.735369,
45,1.88,10,1.19,0.974824,-0.829004,4.529776,,0.057052,
46,2.84,11,1.23,0.974891,5.672596,5.014344,,-0.806831,
47,5.45,12,1.32,0.97499,6.541869,3.143791,,0.887527,
48,2.48,11,1.38,0.975075,3.549301,2.517401,,-1.057107,
49,2.3,11,1.42,0.975168,4.832353,3.319547,,-1.03792,
50,1.62,11,1.47,0.975274,-2.629422,1.684012,,-0.061504,
51,2.24,11,1.5,0.975418,5.105091,3.76266,,-0.926595,
52,1.92,11,1.55,0.975537,0.834924,1.978847,,-0.856521,
53,3.32,10,1.6,0.97563,3.59506,2.356698,,0.021944,
54,3.69,11,1.66,0.975753,4.549092,3.06684,,-0.051505,
55,4.42,10,1.7,0.975927,17.367849,36.360149,,-1.864524,
56,1.18,10,1.76,0.976122,-2.997222,7.159158,,0.22967,
57,4.07,10,1.8,0.976321,2.890962,1.740759,,0.880106,
58,4.68,11,1.86,0.976496,2.906945,3.099914,,1.162471,
59,6.15,14,1.92,0.976671,11.196382,11.996069,,-0.306699,
60,2.34,10,1.97,0.976853,-1.985779,3.420895,,0.498952,
61,1.98,11,2.02,0.977005,-6.888177,5.03411,,0.945959,
62,3.18,11,2.07,0.977215,-0.800822,3.491131,,1.402029,
63,2.93,10,2.11,0.977392,1.613428,2.587931,,0.351674,
64,2.55,10,2.15,0.977556,-3.62805,1.803436,,1.057758,
65,3.61,10,2.19,0.977715,1.81315,2.855777,,0.627195,
66,3.43,10,2.22,0.977861,-0.746286,0.796872,,1.065178,
67,1.97,11,2.26,0.977994,-3.953728,3.910749,,0.632988,
68,2.29,10,2.29,0.978119,-1.751726,1.684712,,0.377602,
69,1.57,10,2.33,0.978248,-3.762222,2.812138,,0.454196,
70,5.39,12,2.37,0.978373,5.991734,2.516143,,0.991967,
71,5.53,13,2.42,0.978511,3.940322,4.666645,,1.270772,
72,5.83,12,2.47,0.978602,4.469939,5.1234,,1.325747,
73,4.95,12,2.51,0.978707,2.636461,4.185286,,1.075965,
74,1.3,10,2.55,0.978812,-6.419305,4.547205,,0.779067,
75,4.5,11,2.6,0.978909,5.068599,2.816778,,0.686126,
76,3.97,10,2.65,0.979028,3.203587,0.835911,,0.958645,
77,4.52,11,2.69,0.979126,0.949156,0.645634,,1.260439,
78,3.47,11,2.73,0.979225,-2.149108,1.331302,,1.251666,
79,1.66,10,2.77,0.979303,-3.336912,2.311923,,0.390318,
80,3.87,10,2.82,0.979379,-0.346198,0.778778,,1.540434,
81,1.86,10,2.87,0.979456,-3.867317,2.329943,,0.696617,
82,3.68,10,2.92,0.979545,-0.157057,3.072547,,1.440091,
83,4.06,11,2.96,0.979636,1.636567,1.435358,,1.142797,
84,2.13,10,3.0,0.979731,-2.997196,2.09478,,0.701436,
85,4.26,11,3.04,0.979832,2.495835,2.43878,,1.156222,
86,5.53,13,3.09,0.979908,1.361699,2.367493,,1.608212,
87,2.89,10,3.13,0.979976,-1.642969,1.262842,,0.919146,
88,4.4,11,3.17,0.980004,-1.272273,8.688283,,1.837688,
89,3.67,11,3.2,0.980037,1.845442,0.683895,,0.59404,
90,5.26,12,3.26,0.980057,0.409793,7.01261,,2.040218,
91,3.66,11,3.3,0.980064,0.184407,1.093452,,0.707632,
92,3.81,11,3.35,0.980055,-0.78817,1.396233,,1.340319,
