episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,0.44,9,0.02,0.9747,0.688312,33.220638,,-2.809578,-0.291175
2,1.6,9,0.03,0.974574,-3.137181,6.576265,,-0.186486,-0.174033
3,0.97,9,0.05,0.974576,-0.418386,9.851817,,-0.177627,-0.232027
4,0.46,10,0.07,0.974651,-0.141246,23.037449,,-0.629568,-0.247717
5,1.4,9,0.08,0.974809,2.745946,14.401561,,-1.640804,-0.137208
6,1.18,10,0.08,0.974921,-1.132781,5.224015,,-0.75042,-0.147105
7,0.98,10,0.09,0.975024,-0.592135,14.899458,,-1.060557,-0.158567
8,0.14,10,0.11,0.975179,0.059329,11.097398,,-1.309733,-0.225284
9,-0.12,8,0.12,0.975339,-0.661392,10.229949,,-2.940132,-0.28445
10,-1.04,11,0.14,0.975533,0.237843,4.98779,,-1.337249,-0.293219
11,0.98,9,0.15,0.975752,0.373089,5.120031,,-0.031623,-0.140335
12,1.67,10,0.16,0.975892,-1.022576,6.664626,,-0.049628,-0.043216
13,1.86,10,0.17,0.97602,-0.120429,3.860945,,0.452595,-0.017607
14,-0.37,9,0.18,0.976111,-1.456112,10.346237,,-1.473417,-0.232459
15,1.02,10,0.2,0.976238,0.877877,11.906956,,0.262879,-0.090681
16,0.73,9,0.21,0.97631,-1.152585,9.796212,,0.039584,-0.096875
17,1.94,11,0.23,0.976405,1.195984,11.195742,,0.577842,0.025834
18,2.1,10,0.25,0.976456,-0.88571,20.717167,,0.409225,0.039632
19,0.63,10,0.26,0.976528,-0.089701,5.98672,,0.476386,-0.087729
20,0.42,11,0.28,0.976623,0.535136,22.475554,,-1.173966,-0.076825
21,1.77,10,0.3,0.976724,0.630031,7.613402,,0.60159,0.045076
22,1.02,10,0.32,0.976777,-1.353459,19.624018,,-1.125477,-0.009983
23,1.71,10,0.34,0.976807,-0.328873,5.140045,,0.352499,0.053626
24,-0.14,11,0.35,0.976754,-3.689525,14.053692,,-0.501233,-0.119322
25,-0.53,11,0.36,0.976696,-1.031911,13.130958,,-2.86743,-0.128016
26,2.13,10,0.38,0.976633,0.415151,13.90213,,-0.478834,0.107692
27,1.17,9,0.4,0.976576,0.091491,4.930548,,-0.715298,0.034478
28,-1.4,13,0.42,0.976587,0.863102,11.091335,,-1.576033,-0.172906
29,2.02,11,0.43,0.976594,0.478696,7.097063,,-0.048795,0.105806
30,2.02,10,0.44,0.97659,0.196828,5.191197,,0.373647,0.122645
31,5.48,13,0.46,0.97656,0.343249,15.916441,,1.31941,0.345731
32,2.83,12,0.47,0.976583,2.266083,7.213474,,0.079472,0.172648
33,1.99,11,0.49,0.976577,-0.19112,10.971815,,0.693549,0.115422
34,2.46,10,0.5,0.976591,1.118744,21.585295,,1.716232,0.156211
35,-0.54,10,0.51,0.976553,-1.759837,20.556137,,-0.429248,-0.125025
36,1.49,11,0.52,0.976479,-1.027884,10.752427,,-0.129299,0.082567
37,1.96,10,0.54,0.976421,0.644219,6.876984,,0.767739,0.117465
38,1.15,10,0.55,0.976353,-0.021781,13.071073,,0.074406,0.047486
39,-0.73,9,0.56,0.976372,1.904145,8.409424,,0.489909,-0.167899
40,0.8,11,0.58,0.976443,1.440107,17.795534,,0.108971,-0.003813
41,-0.87,11,0.6,0.976476,-1.398121,10.30989,,-0.271988,-0.146323
42,5.37,13,0.62,0.976474,0.403898,2.671732,,1.925739,0.333405
43,2.91,12,0.64,0.976462,0.519918,8.849652,,0.433031,0.179905
44,0.92,11,0.65,0.976448,0.00322,4.037135,,0.039682,0.009259
