episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,0.44,9,0.02,0.9747,-4.688162,,,,
2,1.26,9,0.02,0.975206,-1.490637,,,,
3,1.03,9,0.04,0.975453,-4.310447,,,,
4,-0.48,8,0.05,0.975749,-6.554072,,,,
5,-0.05,9,0.07,0.975948,-6.781668,,,,
6,0.14,9,0.08,0.975989,-6.951485,,,,
7,-0.75,8,0.09,0.975907,-8.895762,,,,
8,-1.77,9,0.1,0.97601,-9.521554,,,,
9,1.4,9,0.12,0.976088,-1.940771,,,,
10,-1.0,8,0.13,0.976184,-8.400909,,,,
11,1.93,9,0.15,0.976314,0.483913,,,,
12,0.26,7,0.16,0.976377,-5.057804,,,,
13,0.86,7,0.18,0.976412,-2.739223,,,,
14,0.02,9,0.2,0.976505,-5.769972,,,,
15,0.78,10,0.22,0.976566,-5.055039,,,,
16,1.34,9,0.22,0.976671,-2.086209,,,,
17,1.85,8,0.24,0.976742,-0.358822,,,,
18,-0.82,8,0.26,0.976752,-8.713883,,,,
19,-0.78,9,0.27,0.976803,-8.031784,,,,
20,0.39,8,0.28,0.976791,-5.959214,,,,
21,1.25,9,0.3,0.976823,-1.74447,,,,
22,1.42,9,0.32,0.976893,-1.548574,,,,
23,1.37,9,0.34,0.976973,-1.496288,,,,
24,-0.53,8,0.41,0.977077,-6.764399,,,,
25,-1.25,9,0.42,0.977144,-10.412991,,,,
26,1.67,9,0.44,0.977197,-1.402827,,,,
27,2.45,8,0.45,0.977259,3.042869,,,,
28,-1.39,9,0.46,0.97728,-11.249619,,,,
29,1.56,10,0.48,0.977305,-1.951128,,,,
30,-0.17,8,0.49,0.97734,-5.802141,,,,
31,1.0,9,0.5,0.977408,-2.808775,,,,
32,2.03,8,0.51,0.97754,1.388192,,,,
33,2.99,11,0.53,0.977646,1.624445,,,,
34,2.61,10,0.55,0.977744,0.915627,,,,
35,2.01,9,0.56,0.977842,0.656235,,,,
36,4.93,10,0.58,0.977939,8.672665,,,,
37,3.59,10,0.59,0.978048,3.834937,,,,
38,1.22,10,0.6,0.978149,-3.258208,,,,
39,0.27,9,0.62,0.978253,-5.178663,,,,
40,4.46,9,0.64,0.978276,7.008005,,,,
41,-0.73,9,0.66,0.978328,-8.128651,,,,
42,2.44,9,0.68,0.97839,1.889711,,,,
43,3.11,8,0.7,0.978422,3.564983,,,,
44,2.6,10,0.71,0.97845,0.56284,,,,
45,3.0,10,0.73,0.978505,3.592943,,,,
46,4.26,9,0.75,0.978557,8.097959,,,,
47,2.15,9,0.77,0.978602,-0.604688,,,,
48,3.12,10,0.78,0.978612,1.26176,,,,
