episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,0.44,9,0.02,0.97387,0.036844,,-1.244276,,
2,1.28,9,0.05,0.97429,0.93615,,-0.565803,,
3,1.0,9,0.06,0.974459,-0.436401,,-0.833726,,
4,-1.31,9,0.08,0.974714,0.675396,,-2.43939,,
5,1.22,9,0.1,0.974903,-0.093319,,-0.658662,,
6,-0.51,8,0.12,0.975027,-0.197181,,-1.636398,,
7,-0.35,8,0.13,0.975185,0.38395,,-1.64923,,
8,-1.69,9,0.15,0.975355,0.266702,,-2.708337,,
9,1.09,9,0.16,0.975455,-0.233174,,-0.745966,,
10,-0.55,8,0.18,0.975499,-0.270753,,-1.756804,,
11,1.59,9,0.18,0.975594,0.750787,,-0.323861,,
12,-0.26,10,0.2,0.975655,-0.197889,,-1.605827,,
13,-0.32,9,0.2,0.975718,0.008034,,-1.789924,,
14,1.28,9,0.22,0.97572,-0.354255,,-0.575798,,
15,1.0,9,0.24,0.975698,-0.202581,,-0.864912,,
16,-1.55,9,0.27,0.975628,-0.471535,,-2.618124,,
17,0.37,9,0.29,0.975534,-0.319379,,-1.289006,,
18,1.11,9,0.31,0.975412,-0.357118,,-0.723774,,
19,0.5,9,0.33,0.975276,-0.236196,,-1.104473,,
20,0.8,9,0.35,0.975138,-0.089702,,-0.936586,,
21,1.84,9,0.37,0.975084,0.693305,,-0.1005,,
22,2.09,9,0.39,0.975036,0.093174,,-0.010392,,
23,0.99,9,0.4,0.97501,0.148163,,-0.879334,,
24,-1.48,9,0.42,0.975004,0.195681,,-2.574832,,
25,-1.43,9,0.44,0.975036,0.407475,,-2.55849,,
26,1.64,9,0.45,0.975088,0.268203,,-0.30134,,
27,-0.33,9,0.46,0.975138,-0.000183,,-1.82748,,
28,-1.8,9,0.47,0.97517,-0.112315,,-2.765443,,
29,-0.7,9,0.49,0.975191,-0.050359,,-2.08759,,
30,1.05,9,0.5,0.975233,0.258651,,-0.78028,,
31,-1.25,9,0.52,0.975326,0.694344,,-2.398299,,
32,2.45,9,0.54,0.975389,-0.223605,,0.331425,,
33,2.05,9,0.57,0.975422,-0.222307,,-0.028502,,
34,0.86,9,0.59,0.975467,0.121013,,-0.938195,,
35,-1.25,9,0.61,0.975542,0.32509,,-2.459028,,
36,1.37,9,0.63,0.975588,-0.120637,,-0.500216,,
37,0.24,9,0.65,0.975635,0.069145,,-1.428095,,
38,1.96,9,0.67,0.975681,-0.007103,,-0.112913,,
39,0.17,8,0.7,0.97577,0.39826,,-1.290582,,
40,0.25,9,0.74,0.975849,0.042035,,-1.383058,,
41,-0.95,9,0.77,0.975914,-0.065337,,-2.284532,,
42,-0.53,9,0.81,0.975959,-0.130418,,-1.988601,,
43,2.91,10,0.84,0.97597,-0.269786,,0.553613,,
44,2.73,9,0.86,0.975996,0.241184,,0.647435,,
45,2.41,9,0.88,0.976056,0.416434,,0.375644,,
