episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,0.44,9,0.01,0.9747,-4.451911,,-0.062214,,
2,1.27,9,0.03,0.975201,-1.091596,,-0.086826,,
3,1.02,9,0.05,0.975443,-3.727115,,-0.122976,,
4,-0.43,8,0.06,0.975736,-5.591677,,-0.201283,,
5,0.02,9,0.09,0.975945,-5.33227,,-0.266271,,
6,0.16,9,0.11,0.976002,-5.349609,,-0.32213,,
7,-0.73,8,0.13,0.975958,-6.93622,,-0.404872,,
8,-1.78,9,0.14,0.976084,-7.697874,,-0.522059,,
9,1.49,9,0.15,0.97617,0.317766,,-0.515345,,
10,-0.96,8,0.17,0.976262,-5.932825,,-0.592159,,
11,1.77,9,0.18,0.976384,2.348124,,-0.572557,,
12,0.27,7,0.2,0.976455,-2.317915,,-0.596077,,
13,0.37,8,0.21,0.976503,-2.23001,,-0.623426,,
14,0.03,8,0.23,0.976591,-2.165812,,-0.65791,,
15,1.49,9,0.24,0.976684,0.74607,,-0.650565,,
16,-0.36,8,0.26,0.976812,-2.925925,,-0.69533,,
17,1.03,9,0.27,0.976946,-0.12949,,-0.701179,,
18,1.68,8,0.29,0.97708,2.248354,,-0.674464,,
19,2.73,10,0.31,0.97726,4.590302,,-0.625572,,
20,0.2,8,0.32,0.977356,-3.785495,,-0.661222,,
21,0.82,9,0.35,0.977507,-0.187909,,-0.677045,,
22,2.01,8,0.36,0.97766,3.265617,,-0.637973,,
23,-1.53,9,0.39,0.977838,-7.241599,,-0.736255,,
24,-0.92,8,0.4,0.978053,-4.428845,,-0.802177,,
25,-1.53,9,0.42,0.978207,-7.49723,,-0.890097,,
26,1.77,8,0.43,0.978301,2.647415,,-0.850746,,
27,1.41,8,0.44,0.978415,2.395938,,-0.827506,,
28,1.0,9,0.46,0.978531,0.829521,,-0.819728,,
29,1.54,8,0.48,0.978619,1.971601,,-0.791885,,
30,1.19,8,0.49,0.978679,0.729789,,-0.779171,,
31,1.08,9,0.5,0.978722,-0.028847,,-0.777519,,
32,1.31,10,0.52,0.97872,-0.4245,,-0.776339,,
33,1.93,9,0.54,0.978712,2.005741,,-0.748726,,
34,1.91,10,0.56,0.978666,1.50052,,-0.723402,,
35,-1.07,9,0.57,0.978646,-6.160988,,-0.802938,,
36,2.99,10,0.59,0.978694,6.706384,,-0.729451,,
37,3.57,11,0.62,0.978833,7.611969,,-0.652702,,
38,1.66,9,0.63,0.978926,1.232825,,-0.631463,,
39,1.34,8,0.64,0.979019,0.560622,,-0.625307,,
40,1.16,10,0.66,0.979147,-0.419246,,-0.637365,,
41,-1.45,8,0.67,0.979281,-6.958776,,-0.729354,,
42,1.72,8,0.68,0.97938,1.734311,,-0.703857,,
43,2.11,10,0.71,0.979449,2.558367,,-0.667702,,
44,2.46,9,0.72,0.979498,3.738162,,-0.619186,,
45,1.47,9,0.74,0.97955,0.369392,,-0.616544,,
46,4.92,11,0.76,0.979614,10.294521,,-0.490252,,
47,3.26,11,0.78,0.979727,4.82893,,-0.438367,,
48,2.37,11,0.8,0.979834,0.747714,,-0.430359,,
49,4.32,12,0.82,0.979994,9.432412,,-0.324567,,
50,2.16,9,0.84,0.980203,3.116619,,-0.299719,,
51,1.78,11,0.85,0.980427,-0.803034,,-0.316888,,
52,5.09,13,0.87,0.980591,6.642483,,-0.226293,,
53,5.93,14,0.89,0.98086,11.16483,,-0.112088,,
54,3.05,10,0.91,0.981123,2.63447,,-0.082704,,
55,2.03,12,0.93,0.981385,-0.903257,,-0.098913,,
56,-0.18,10,0.95,0.98164,-6.184206,,-0.180271,,
57,3.8,11,0.97,0.981876,4.547558,,-0.12458,,
58,2.99,11,0.99,0.982101,2.3446,,-0.097354,,
59,5.01,12,1.0,0.982271,7.719091,,0.006288,,
60,0.11,10,1.02,0.982477,-5.424607,,-0.072593,,
61,4.03,13,1.04,0.982715,6.289421,,-0.008762,,
62,2.53,12,1.07,0.982932,0.786831,,0.001025,,
63,5.2,13,1.1,0.983076,8.774566,,0.121914,,
64,6.02,12,1.13,0.983249,10.771102,,0.246103,,
65,4.83,13,1.15,0.983375,4.700455,,0.312093,,
66,3.46,11,1.17,0.983455,1.273921,,0.334106,,
67,4.92,10,1.18,0.983665,9.363564,,0.420082,,
68,4.18,12,1.2,0.983889,4.785352,,0.47205,,
69,2.91,12,1.22,0.984088,-0.005548,,0.472799,,
70,3.69,12,1.23,0.984262,0.83711,,0.484675,,
71,5.01,13,1.24,0.984403,5.750175,,0.560302,,
72,4.99,13,1.26,0.98447,3.754329,,0.620742,,
73,7.82,12,1.28,0.984523,14.253555,,0.800938,,
74,3.34,12,1.3,0.984544,-1.138754,,0.792244,,
75,6.64,15,1.32,0.984546,6.3173,,0.875233,,
76,5.19,13,1.34,0.984549,4.451744,,0.930293,,
77,4.05,12,1.36,0.984578,1.43004,,0.941981,,
78,3.92,12,1.39,0.984575,-0.487,,0.942456,,
79,-0.39,11,1.42,0.984503,-12.838846,,0.798364,,
80,7.13,14,1.45,0.984454,9.902457,,0.918115,,
81,3.99,13,1.47,0.9844,1.811927,,0.943407,,
82,4.61,14,1.49,0.984342,1.828059,,0.968564,,
83,6.58,12,1.51,0.984254,8.521985,,1.083027,,
84,5.42,14,1.54,0.984163,2.700253,,1.119668,,
85,2.78,12,1.56,0.984095,-3.329102,,1.075393,,
86,7.21,15,1.58,0.983998,7.287272,,1.174183,,
87,5.72,11,1.6,0.9839,5.34474,,1.242932,,
88,5.2,14,1.62,0.983775,2.231998,,1.278941,,
89,5.27,14,1.65,0.983665,1.473747,,1.296768,,
90,5.92,15,1.67,0.983549,3.486431,,1.344368,,
91,7.34,14,1.69,0.983456,7.433479,,1.434735,,
92,5.95,15,1.71,0.983383,3.55558,,1.476711,,
93,6.03,14,1.72,0.983318,3.945038,,1.525684,,
94,3.87,13,1.74,0.983264,-2.265269,,1.496178,,
95,3.71,11,1.76,0.983175,-3.068078,,1.466421,,
96,6.63,15,1.78,0.983022,2.283783,,1.511104,,
97,3.59,12,1.79,0.982894,-4.157683,,1.456931,,
98,3.73,12,1.81,0.982807,-0.216257,,1.447675,,
99,5.03,12,1.83,0.982696,2.126244,,1.48136,,
100,5.17,13,1.85,0.982562,-0.039065,,1.488236,,
101,5.93,15,1.99,0.982506,4.211902,,1.526494,,
102,4.92,12,2.01,0.982439,1.569092,,1.549579,,
103,6.92,14,2.04,0.982433,5.842515,,1.609783,,
104,7.86,15,2.08,0.982461,7.943383,,1.702373,,
105,8.29,13,2.11,0.982413,10.225126,,1.847165,,
106,5.43,14,2.14,0.982406,1.949371,,1.863823,,
107,5.6,11,2.16,0.982371,2.510785,,1.901641,,
