episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,0.44,9,0.01,0.9747,-80.636078,,20.0,,
2,1.35,9,0.03,0.975001,-87.24411,,20.0,,
3,1.02,9,0.04,0.975025,-99.966675,,20.0,,
4,0.41,10,0.05,0.975036,-88.579315,,20.0,,
5,1.39,9,0.06,0.97508,-84.505272,,20.0,,
6,0.55,10,0.07,0.975003,-102.972679,,20.0,,
7,1.03,10,0.09,0.975011,-80.78524,,20.0,,
8,1.79,9,0.1,0.975038,-85.867851,,20.0,,
9,1.6,8,0.11,0.97515,-72.031693,,20.0,,
10,-0.13,8,0.12,0.975214,-100.551048,,20.0,,
11,1.42,9,0.14,0.975299,-79.674736,,20.0,,
12,0.51,10,0.16,0.975266,-106.85067,,20.0,,
13,-0.13,9,0.17,0.975286,-81.335533,,20.0,,
14,2.05,9,0.18,0.975267,-89.634407,,20.0,,
15,-0.2,8,0.19,0.975272,-80.161171,,20.0,,
16,0.09,7,0.2,0.97532,-78.405479,,20.0,,
17,1.65,9,0.2,0.9753,-93.586639,,20.0,,
18,1.95,9,0.23,0.975266,-85.781761,,20.0,,
19,0.67,9,0.24,0.975233,-87.859589,,20.0,,
20,0.58,7,0.25,0.975147,-110.597549,,20.0,,
21,0.11,7,0.25,0.975056,-89.428696,,20.0,,
22,1.68,8,0.27,0.975015,-76.467323,,20.0,,
23,-0.61,8,0.33,0.974995,-84.672569,,20.0,,
24,0.18,7,0.36,0.974967,-90.062622,,20.0,,
25,0.16,7,0.39,0.974917,-91.946571,,20.0,,
26,1.83,7,0.41,0.974959,-66.243706,,20.0,,
27,-0.21,7,0.42,0.97499,-97.12339,,20.0,,
28,-1.4,8,0.43,0.97501,-97.562599,,20.0,,
29,1.43,9,0.44,0.975064,-78.653702,,20.0,,
30,0.13,7,0.44,0.975143,-82.292702,,20.0,,
31,-1.49,8,0.46,0.975228,-89.687096,,20.0,,
32,1.2,7,0.47,0.975347,-75.617676,,20.0,,
33,1.65,7,0.47,0.975419,-91.128975,,20.0,,
34,1.8,8,0.48,0.975547,-69.252274,,20.0,,
35,-1.23,8,0.5,0.975711,-80.871384,,20.0,,
36,-0.26,7,0.51,0.975899,-80.621872,,20.0,,
37,1.66,7,0.53,0.976042,-87.871193,,20.0,,
38,-0.39,8,0.54,0.976181,-89.916084,,20.0,,
